Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BIG_122019C12.5,0.0,0:23.28,0:23.36,0:22.72,0:22.58,0:21.92,0:21.67,0.0,0:22.44,0:22.31,0:22.14:981067:0.0:0,0:21.57:798458:0.0:0,0:21.33:1523358:0.0:0,0:21.55:1247448:0.0:0,0:21.51:1216450:0.0:0,0:21.1:1079809:0.0:0,0:21.04:722354:0.0:0,0:20.68:974406:0.0:0,0:19.33:1827537:0.0:0,0:19.27:793725:0.0:0,U:0:0:U:U,[0:19.42:1072160:0.0:0
BIG_122019C15,0.0,0:23.28,0:23.36,0:22.72,0:22.58,0:21.92,1:21.67,1.0,1:22.44,2:22.31,2:22.14:981067:7.5:0,2:21.57:798458:6.2:1,1:21.33:1523358:6.2:0,1:21.55:1247448:6.2:0,1:21.51:1216450:6.2:0,1:21.1:1079809:6.2:0,1:21.04:722354:6.2:0,1:20.68:974406:6.2:0,1:19.33:1827537:4.4:2,3:19.27:793725:4.4:0,3:0:0:4.4:0,[3:19.42:1072160:4.47:10
BIG_122019C17.5,2.0,2:23.28,1:23.36,1:22.72,1:22.58,1:21.92,1:21.67,1.0,1:22.44,1:22.31,1:22.14:981067:4.7:0,1:21.57:798458:4.7:0,1:21.33:1523358:4.7:0,1:21.55:1247448:4.7:0,1:21.51:1216450:4.7:0,1:21.1:1079809:4.7:0,1:21.04:722354:4.7:0,1:20.68:974406:3.25:5,6:19.33:1827537:2.3:20,26:19.27:793725:2.15:4,29:0:0:2.15:0,[29:19.42:1072160:2.15:0
BIG_122019C20,62.0,84:23.28,84:23.36,84:22.72,83:22.58,83:21.92,83:21.67,83.0,107:22.44,128:22.31,149:22.14:981067:3.0:8,155:21.57:798458:2.28:6,155:21.33:1523358:2.03:26,173:21.55:1247448:2.52:40,188:21.51:1216450:2.2:23,206:21.1:1079809:2.0:6,209:21.04:722354:2.0:17,215:20.68:974406:1.69:86,272:19.33:1827537:0.98:179,388:19.27:793725:0.85:88,550:0:0:1.15:118,[648:19.42:1072160:1.0:60
BIG_122019C22.5,11.0,15:23.28,17:23.36,22:22.72,31:22.58,89:21.92,145:21.67,844.0,931:22.44,982:22.31,986:22.14:981067:1.35:119,1085:21.57:798458:1.11:35,1111:21.33:1523358:0.95:59,1144:21.55:1247448:1.03:155,1237:21.51:1216450:1.0:151,1325:21.1:1079809:0.85:82,1370:21.04:722354:0.83:114,1463:20.68:974406:0.61:329,1669:19.33:1827537:0.35:85,1680:19.27:793725:0.25:55,1721:0:0:0.35:1025,[2664:19.42:1072160:0.3:67
BIG_122019C25,22.0,148:23.28,304:23.36,343:22.72,352:22.58,352:21.92,354:21.67,1697.0,1710:22.44,1715:22.31,1825:22.14:981067:0.65:10,1826:21.57:798458:0.42:7,1825:21.33:1523358:0.35:77,1871:21.55:1247448:0.39:60,1906:21.51:1216450:0.32:171,1837:21.1:1079809:0.25:53,1876:21.04:722354:0.25:45,1900:20.68:974406:0.15:226,2025:19.33:1827537:0.1:167,2045:19.27:793725:0.05:102,U:0:0:U:U,[2152:19.42:1072160:0.06:14
BIG_122019C27.5,0.0,4:23.28,9:23.36,16:22.72,16:22.58,17:21.92,17:21.67,16.0,16:22.44,64:22.31,73:22.14:981067:0.18:2,74:21.57:798458:0.2:1,74:21.33:1523358:0.1:2,73:21.55:1247448:0.1:0,73:21.51:1216450:0.1:10,83:21.1:1079809:0.1:0,83:21.04:722354:0.1:1,84:20.68:974406:0.05:8,83:19.33:1827537:0.05:0,83:19.27:793725:0.05:0,83:0:0:0.05:0,[83:19.42:1072160:0.05:0
BIG_122019C30,0.0,0:23.28,0:23.36,1:22.72,1:22.58,1:21.92,1:21.67,1.0,1:22.44,1:22.31,1:22.14:981067:0.1:0,1:21.57:798458:0.1:0,1:21.33:1523358:0.1:0,1:21.55:1247448:0.1:0,1:21.51:1216450:0.1:0,1:21.1:1079809:0.1:0,1:21.04:722354:0.1:0,1:20.68:974406:0.1:0,1:19.33:1827537:0.1:0,1:19.27:793725:0.1:0,U:0:0:U:U,[1:19.42:1072160:0.1:0
BIG_122019C32.5,0.0,0:23.28,0:23.36,0:22.72,0:22.58,0:21.92,0:21.67,0.0,0:22.44,0:22.31,0:22.14:981067:0.0:0,0:21.57:798458:0.0:0,0:21.33:1523358:0.0:0,0:21.55:1247448:0.0:0,0:21.51:1216450:0.0:0,0:21.1:1079809:0.0:0,0:21.04:722354:0.0:0,0:20.68:974406:0.0:0,0:19.33:1827537:0.0:0,0:19.27:793725:0.0:0,0:0:0:0.0:0,[0:19.42:1072160:0.0:0
BIG_011720C12.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,4:21.1:1079809:9.19:0,4:21.04:722354:9.19:0,4:20.68:974406:9.19:0,4:19.33:1827537:9.19:0,4:19.27:793725:6.2:4,4:0:0:6.2:0,[4:19.42:1072160:6.2:0
BIG_011720C15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,45:21.1:1079809:6.8:0,45:21.04:722354:6.8:0,45:20.68:974406:6.8:0,45:19.33:1827537:6.8:0,45:19.27:793725:6.8:0,45:0:0:4.4:1,[46:19.42:1072160:4.4:0
BIG_011720C17.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,139:21.1:1079809:4.0:41,127:21.04:722354:4.0:0,127:20.68:974406:3.4:2,129:19.33:1827537:2.5:30,159:19.27:793725:2.25:13,U:0:0:U:U,[184:19.42:1072160:2.89:0
BIG_011720C20,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,342:21.1:1079809:2.41:0,342:21.04:722354:2.2:9,350:20.68:974406:1.75:128,477:19.33:1827537:1.15:116,548:19.27:793725:1.2:90,571:0:0:1.4:86,[621:19.42:1072160:1.2:10
BIG_011720C22.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,682:21.1:1079809:1.05:2,683:21.04:722354:1.05:7,685:20.68:974406:0.83:48,708:19.33:1827537:0.5:1100,1750:19.27:793725:0.45:28,1743:0:0:0.6:12,[1737:19.42:1072160:0.5:7
BIG_011720C25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1849:21.1:1079809:0.45:4,1853:21.04:722354:0.36:11,1854:20.68:974406:0.3:53,1895:19.33:1827537:0.2:13,1888:19.27:793725:0.15:106,1972:0:0:0.2:4,[1976:19.42:1072160:0.22:100
BIG_011720C27.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1493:21.1:1079809:0.17:10,1483:21.04:722354:0.17:0,1483:20.68:974406:0.15:40,1443:19.33:1827537:0.15:0,1443:19.27:793725:0.15:0,1443:0:0:0.15:0,[1443:19.42:1072160:0.15:0
BIG_011720C30,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,406:21.1:1079809:0.15:0,406:21.04:722354:0.15:0,406:20.68:974406:0.05:21,406:19.33:1827537:0.05:0,406:19.27:793725:0.05:30,436:0:0:0.05:0,[436:19.42:1072160:0.05:0
BIG_011720C32.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,1171:21.1:1079809:0.2:0,1171:21.04:722354:0.2:0,1171:20.68:974406:0.2:0,1171:19.33:1827537:0.2:0,1171:19.27:793725:0.2:0,U:115.65:2796382:0.0:0:0:0:.:U,[1171:19.42:1072160:0.2:0
BIG_011720C35,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,403:21.1:1079809:0.08:0,403:21.04:722354:0.08:0,403:20.68:974406:0.08:0,403:19.33:1827537:0.08:0,403:19.27:793725:0.08:0,U:0:0:U:U,[403:19.42:1072160:0.08:0
BIG_011720C37.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,150:21.1:1079809:0.1:0,150:21.04:722354:0.1:0,150:20.68:974406:0.1:0,150:19.33:1827537:0.1:0,150:19.27:793725:0.1:0,150:0:0:0.1:0,[150:19.42:1072160:0.1:0
BIG_011720C40,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,138:21.1:1079809:0.05:0,138:21.04:722354:0.05:0,138:20.68:974406:0.05:0,138:19.33:1827537:0.05:0,138:19.27:793725:0.05:0,138:0:0:0.05:0,[138:19.42:1072160:0.05:0
BIG_011720C42.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,36:21.1:1079809:0.05:0,36:21.04:722354:0.05:0,36:20.68:974406:0.05:0,36:19.33:1827537:0.05:0,36:19.27:793725:0.05:0,36:0:0:0.05:0,[36:19.42:1072160:0.05:0
BIG_011720C45,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,31:21.1:1079809:0.05:0,31:21.04:722354:0.05:0,31:20.68:974406:0.05:0,31:19.33:1827537:0.05:0,31:19.27:793725:0.05:0,U:0:0:U:U,[31:19.42:1072160:0.05:0
BIG_011720C47.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,55:21.1:1079809:0.35:0,55:21.04:722354:0.35:0,55:20.68:974406:0.04:10,45:19.33:1827537:0.04:0,45:19.27:793725:0.04:0,U:0:0:U:U,[45:19.42:1072160:0.04:0
BIG_011720C50,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,8:21.1:1079809:0.41:0,8:21.04:722354:0.41:0,8:20.68:974406:0.41:0,8:19.33:1827537:0.41:0,8:19.27:793725:0.41:0,8:0:0:0.41:0,[8:19.42:1072160:0.41:0
BIG_011720C52.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,6:21.1:1079809:1.0:0,6:21.04:722354:1.0:0,6:20.68:974406:1.0:0,6:19.33:1827537:1.0:0,6:19.27:793725:1.0:0,U:0:0:U:U,[6:19.42:1072160:1.0:0
BIG_011720C55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,11:21.1:1079809:0.35:0,11:21.04:722354:0.35:0,11:20.68:974406:0.35:0,11:19.33:1827537:0.35:0,11:19.27:793725:0.35:0,11:0:0:0.35:0,[11:19.42:1072160:0.35:0
BIG_011720C60,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,5:21.1:1079809:0.3:0,5:21.04:722354:0.3:0,5:20.68:974406:0.3:0,5:19.33:1827537:0.3:0,5:19.27:793725:0.3:0,5:0:0:0.3:0,[5:19.42:1072160:0.3:0
