Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CY_122019C14,10:23.28,10:23.29,10:23.27,10.0,10:23.29,10:23.29,10:23.2995,10:23.34:3292673:8.6:0,10:23.31:1509546:8.6:0,10:23.31:2200734:8.6:0,10:23.37:3226108:8.6:0,10:23.415:3218619:8.6:0,10:23.44:1199386:8.6:0,10:23.44:2676496:8.6:0,10:23.44:3138774:8.6:0,10:63.92:2107570:8.6:0,10:23.395:1622948:8.6:0,10:23.37:3938046:8.6:0,[10:23.41:3238689:8.6:0
CY_122019C15,30:23.28,30:23.29,30:23.27,30.0,30:23.29,30:23.29,30:23.2995,30:23.34:3292673:7.5:0,30:23.31:1509546:7.5:0,30:23.31:2200734:7.5:0,30:23.37:3226108:7.5:0,30:23.415:3218619:7.5:0,30:23.44:1199386:7.5:0,30:23.44:2676496:7.5:0,30:23.44:3138774:7.5:0,30:63.92:2107570:7.5:0,30:23.395:1622948:7.5:0,30:23.37:3938046:7.5:0,[30:23.41:3238689:7.5:0
CY_122019C16,0:23.28,0:23.29,0:23.27,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:5.8:0,0:23.31:1509546:5.8:0,0:23.31:2200734:5.8:0,0:23.37:3226108:5.8:0,0:23.415:3218619:5.8:0,0:23.44:1199386:5.8:0,0:23.44:2676496:5.8:0,0:23.44:3138774:5.8:0,0:63.92:2107570:5.8:0,0:23.395:1622948:5.8:0,0:23.37:3938046:5.8:0,[0:23.41:3238689:5.8:0
CY_122019C17,692:23.28,692:23.29,692:23.27,692.0,692:23.29,692:23.29,692:23.2995,692:23.34:3292673:5.62:0,692:23.31:1509546:5.62:0,692:23.31:2200734:5.62:0,692:23.37:3226108:5.62:0,692:23.415:3218619:5.62:0,692:23.44:1199386:5.62:0,692:23.44:2676496:5.62:0,692:23.44:3138774:5.62:0,:63.92:2107570:U:U,692:23.395:1622948:5.62:0,692:23.37:3938046:5.62:0,[692:23.41:3238689:6.6:550
CY_122019C18,944:23.28,945:23.29,945:23.27,945.0,945:23.29,945:23.29,945:23.2995,945:23.34:3292673:5.56:0,945:23.31:1509546:5.56:0,945:23.31:2200734:5.56:0,945:23.37:3226108:5.56:0,945:23.415:3218619:5.56:0,945:23.44:1199386:5.56:0,945:23.44:2676496:5.56:0,945:23.44:3138774:5.56:0,945:63.92:2107570:5.56:0,945:23.395:1622948:5.56:0,945:23.37:3938046:5.56:0,[945:23.41:3238689:5.6:731
CY_122019C19,145:23.28,145:23.29,145:23.27,145.0,145:23.29,145:23.29,145:23.2995,145:23.34:3292673:4.2:0,145:23.31:1509546:4.2:0,145:23.31:2200734:4.2:0,145:23.37:3226108:4.2:0,145:23.415:3218619:4.2:0,145:23.44:1199386:4.2:0,145:23.44:2676496:4.2:0,145:23.44:3138774:4.2:0,145:63.92:2107570:4.2:0,145:23.395:1622948:4.2:0,145:23.37:3938046:4.2:0,[145:23.41:3238689:4.2:0
CY_122019C20,127:23.28,127:23.29,127:23.27,127.0,127:23.29,127:23.29,127:23.2995,127:23.34:3292673:3.2:0,127:23.31:1509546:3.2:0,127:23.31:2200734:3.2:0,127:23.37:3226108:3.5:2,127:23.415:3218619:3.5:0,127:23.44:1199386:3.5:0,127:23.44:2676496:3.5:0,127:23.44:3138774:3.5:0,127:63.92:2107570:3.5:0,127:23.395:1622948:3.5:0,127:23.37:3938046:3.5:0,[127:23.41:3238689:3.5:0
CY_122019C21,121:23.28,121:23.29,121:23.27,121.0,121:23.29,121:23.29,121:23.2995,121:23.34:3292673:2.55:0,121:23.31:1509546:2.55:0,121:23.31:2200734:2.55:0,121:23.37:3226108:2.55:0,121:23.415:3218619:2.55:0,121:23.44:1199386:2.55:0,121:23.44:2676496:2.55:0,121:23.44:3138774:2.55:0,121:63.92:2107570:2.55:0,121:23.395:1622948:2.55:0,121:23.37:3938046:2.55:0,[121:23.41:3238689:2.55:0
CY_122019C22,126:23.28,126:23.29,126:23.27,126.0,126:23.29,126:23.29,126:23.2995,126:23.34:3292673:1.45:0,126:23.31:1509546:1.45:0,126:23.31:2200734:1.45:0,126:23.37:3226108:1.45:0,126:23.415:3218619:1.45:0,126:23.44:1199386:1.45:0,126:23.44:2676496:1.45:0,126:23.44:3138774:1.45:0,126:63.92:2107570:1.45:0,126:23.395:1622948:1.45:0,126:23.37:3938046:1.54:8,[126:23.41:3238689:1.54:0
CY_122019C23,3293:23.28,3293:23.29,3294:23.27,3294.0,3294:23.29,3294:23.29,3294:23.2995,3294:23.34:3292673:0.5:0,3294:23.31:1509546:0.5:0,3294:23.31:2200734:0.5:0,3294:23.37:3226108:0.65:12,3294:23.415:3218619:0.65:0,3294:23.44:1199386:0.6:1,3295:23.44:2676496:0.6:0,3295:23.44:3138774:0.7:2,:63.92:2107570:U:U,3295:23.395:1622948:0.55:0,3295:23.37:3938046:0.55:0,[3295:23.41:3238689:0.5:11
CY_122019C24,638:23.28,642:23.29,642:23.27,642.0,642:23.29,642:23.29,642:23.2995,642:23.34:3292673:0.05:0,642:23.31:1509546:0.05:0,642:23.31:2200734:0.05:0,642:23.37:3226108:0.05:2,642:23.415:3218619:0.05:0,642:23.44:1199386:0.1:21,638:23.44:2676496:0.05:14,642:23.44:3138774:0.05:10,U:63.92:2107570:0.0:0:63.92:2107570:.:U,652:23.395:1622948:0.05:0,652:23.37:3938046:0.05:0,[652:23.41:3238689:0.05:0
CY_122019C25,159:23.28,159:23.29,159:23.27,159.0,159:23.29,159:23.29,159:23.2995,159:23.34:3292673:0.01:0,159:23.31:1509546:0.01:0,159:23.31:2200734:0.01:0,159:23.37:3226108:0.01:0,159:23.415:3218619:0.01:0,159:23.44:1199386:0.01:0,159:23.44:2676496:0.01:0,159:23.44:3138774:0.01:0,:63.92:2107570:U:U,159:23.395:1622948:0.01:0,159:23.37:3938046:0.01:0,[159:23.41:3238689:0.01:0
CY_122019C26,1:23.28,1:23.29,1:23.27,1.0,1:23.29,1:23.29,1:23.2995,1:23.34:3292673:0.05:0,1:23.31:1509546:0.05:0,1:23.31:2200734:0.05:0,1:23.37:3226108:0.05:0,1:23.415:3218619:0.05:0,1:23.44:1199386:0.05:0,1:23.44:2676496:0.05:0,1:23.44:3138774:0.05:0,1:63.92:2107570:0.05:0,1:23.395:1622948:0.05:0,1:23.37:3938046:0.05:0,[1:23.41:3238689:0.05:0
CY_122019C27,0:23.28,4:23.29,4:23.27,4.0,4:23.29,4:23.29,4:23.2995,4:23.34:3292673:0.04:0,4:23.31:1509546:0.04:0,4:23.31:2200734:0.04:0,4:23.37:3226108:0.04:0,4:23.415:3218619:0.04:0,4:23.44:1199386:0.04:0,4:23.44:2676496:0.04:0,4:23.44:3138774:0.04:0,4:63.92:2107570:0.04:0,4:23.395:1622948:0.04:0,4:23.37:3938046:0.04:0,[4:23.41:3238689:0.04:0
CY_122019C28,100:23.28,100:23.29,100:23.27,100.0,100:23.29,100:23.29,100:23.2995,100:23.34:3292673:0.04:0,100:23.31:1509546:0.04:0,100:23.31:2200734:0.04:0,100:23.37:3226108:0.04:0,100:23.415:3218619:0.04:0,100:23.44:1199386:0.04:0,100:23.44:2676496:0.04:0,100:23.44:3138774:0.04:0,:63.92:2107570:U:U,100:23.395:1622948:0.04:0,100:23.37:3938046:0.04:0,[100:23.41:3238689:0.04:0
CY_122019C29,0:23.28,0:23.29,0:23.27,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:63.92:2107570:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019C30,0:23.28,0:23.29,0:23.27,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,:63.92:2107570:U:U,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019C31,0:23.28,0:23.29,0:23.27,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,:63.92:2107570:U:U,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019C32,0:23.28,0:23.29,0:23.27,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,:63.92:2107570:U:U,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_122019C33,0:23.28,0:23.29,0:23.27,0.0,0:23.29,0:23.29,0:23.2995,0:23.34:3292673:0.0:0,0:23.31:1509546:0.0:0,0:23.31:2200734:0.0:0,0:23.37:3226108:0.0:0,0:23.415:3218619:0.0:0,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:63.92:2107570:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720C14,U,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:4.0:0,0:23.44:2676496:4.0:0,0:23.44:3138774:4.0:0,:63.92:2107570:U:U,0:23.395:1622948:4.0:0,0:23.37:3938046:4.0:0,[0:23.41:3238689:4.0:0
CY_011720C15,U,U,U,U,U,U,U,U,U,U,U,U,156:23.44:1199386:8.3:0,156:23.44:2676496:8.35:25,156:23.44:3138774:8.35:0,156:63.92:2107570:8.35:0,156:23.395:1622948:8.35:0,156:23.37:3938046:8.35:0,[156:23.41:3238689:8.35:0
CY_011720C16,U,U,U,U,U,U,U,U,U,U,U,U,20:23.44:1199386:6.3:0,20:23.44:2676496:6.3:0,20:23.44:3138774:6.3:0,:63.92:2107570:U:U,20:23.395:1622948:6.3:0,20:23.37:3938046:6.3:0,[20:23.41:3238689:6.3:0
CY_011720C17,U,U,U,U,U,U,U,U,U,U,U,U,600:23.44:1199386:6.37:0,600:23.44:2676496:6.37:0,600:23.44:3138774:6.37:0,600:63.92:2107570:6.37:0,600:23.395:1622948:6.37:0,600:23.37:3938046:6.37:0,[600:23.41:3238689:6.37:0
CY_011720C18,U,U,U,U,U,U,U,U,U,U,U,U,119:23.44:1199386:5.39:0,119:23.44:2676496:5.39:0,119:23.44:3138774:5.39:0,119:63.92:2107570:5.39:0,119:23.395:1622948:5.39:0,119:23.37:3938046:5.39:0,[119:23.41:3238689:5.39:0
CY_011720C19,U,U,U,U,U,U,U,U,U,U,U,U,285:23.44:1199386:4.5:0,285:23.44:2676496:4.5:0,285:23.44:3138774:4.5:0,285:63.92:2107570:4.5:0,285:23.395:1622948:4.5:0,285:23.37:3938046:4.5:0,[285:23.41:3238689:4.5:0
CY_011720C20,U,U,U,U,U,U,U,U,U,U,U,U,6725:23.44:1199386:3.4:0,6725:23.44:2676496:3.4:0,6725:23.44:3138774:3.4:0,:63.92:2107570:U:U,6725:23.395:1622948:3.4:0,6725:23.37:3938046:3.4:0,[6725:23.41:3238689:3.58:4502
CY_011720C21,U,U,U,U,U,U,U,U,U,U,U,U,470:23.44:1199386:2.58:0,470:23.44:2676496:2.58:0,470:23.44:3138774:2.58:0,:63.92:2107570:U:U,470:23.395:1622948:2.58:0,470:23.37:3938046:2.58:0,[470:23.41:3238689:2.58:0
CY_011720C22,U,U,U,U,U,U,U,U,U,U,U,U,599:23.44:1199386:1.55:0,599:23.44:2676496:1.55:10,589:23.44:3138774:1.55:0,:63.92:2107570:U:U,589:23.395:1622948:1.55:0,589:23.37:3938046:1.55:0,[589:23.41:3238689:1.55:0
CY_011720C23,U,U,U,U,U,U,U,U,U,U,U,U,558:23.44:1199386:0.75:0,558:23.44:2676496:0.75:0,558:23.44:3138774:0.75:0,558:63.92:2107570:0.75:0,558:23.395:1622948:0.75:0,558:23.37:3938046:0.75:0,[558:23.41:3238689:0.75:0
CY_011720C24,U,U,U,U,U,U,U,U,U,U,U,U,1250:23.44:1199386:0.1:0,1250:23.44:2676496:0.1:0,1250:23.44:3138774:0.1:2,1252:63.92:2107570:0.1:0,1252:23.395:1622948:0.1:0,1277:23.37:3938046:0.05:0,[1277:23.41:3238689:0.1:25
CY_011720C25,U,U,U,U,U,U,U,U,U,U,U,U,2104:23.44:1199386:0.04:0,2104:23.44:2676496:0.04:0,2104:23.44:3138774:0.04:0,:63.92:2107570:U:U,2104:23.395:1622948:0.04:7,2111:23.37:3938046:0.01:51,[2111:23.41:3238689:0.01:0
CY_011720C26,U,U,U,U,U,U,U,U,U,U,U,U,11:23.44:1199386:0.05:0,11:23.44:2676496:0.05:0,11:23.44:3138774:0.05:0,:63.92:2107570:U:U,11:23.395:1622948:0.05:0,11:23.37:3938046:0.05:0,[11:23.41:3238689:0.05:0
CY_011720C27,U,U,U,U,U,U,U,U,U,U,U,U,976:23.44:1199386:0.05:0,976:23.44:2676496:0.05:0,976:23.44:3138774:0.05:0,:63.92:2107570:U:U,976:23.395:1622948:0.05:0,976:23.37:3938046:0.05:0,[976:23.41:3238689:0.05:0
CY_011720C28,U,U,U,U,U,U,U,U,U,U,U,U,20:23.44:1199386:0.03:0,20:23.44:2676496:0.03:0,20:23.44:3138774:0.03:0,20:63.92:2107570:0.03:0,20:23.395:1622948:0.03:0,20:23.37:3938046:0.03:0,[20:23.41:3238689:0.03:0
CY_011720C29,U,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:63.92:2107570:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720C30,U,U,U,U,U,U,U,U,U,U,U,U,2166:23.44:1199386:0.05:0,2166:23.44:2676496:0.05:0,2166:23.44:3138774:0.05:0,:63.92:2107570:U:U,2166:23.395:1622948:0.05:0,2166:23.37:3938046:0.05:0,[2166:23.41:3238689:0.05:0
CY_011720C31,U,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,:63.92:2107570:U:U,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720C32,U,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:63.92:2107570:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
CY_011720C33,U,U,U,U,U,U,U,U,U,U,U,U,0:23.44:1199386:0.0:0,0:23.44:2676496:0.0:0,0:23.44:3138774:0.0:0,0:63.92:2107570:0.0:0,0:23.395:1622948:0.0:0,0:23.37:3938046:0.0:0,[0:23.41:3238689:0.0:0
