Symbol,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
SLAB_122019P60,2:108.92,2:106.24,2.0,2:112.56,2:111.8,2:108.15,2:108.56:212242:0.1:0,2:109.0:168881:0.1:0,2:108.32:100523:0.1:0,2:108.33:336728:0.1:0,2:109.02:306797:0.1:0,2:108.69:224743:0.1:0,2:109.46:170771:0.1:0,2:108.08:158321:0.1:0,2:104.42:488368:0.1:0,2:103.06:379988:0.1:0,[2:103.53:211236:0.1:0
SLAB_122019P65,10:108.92,10:106.24,10.0,10:112.56,10:111.8,10:108.15,10:108.56:212242:0.83:0,10:109.0:168881:0.83:0,10:108.32:100523:0.83:0,10:108.33:336728:0.83:0,10:109.02:306797:0.83:0,10:108.69:224743:0.83:0,10:109.46:170771:0.83:0,10:108.08:158321:0.83:0,10:104.42:488368:0.83:0,10:103.06:379988:0.83:0,[10:103.53:211236:0.83:0
SLAB_122019P70,60:108.92,60:106.24,60.0,60:112.56,60:111.8,60:108.15,60:108.56:212242:0.35:0,60:109.0:168881:0.35:0,60:108.32:100523:0.35:0,60:108.33:336728:0.35:0,60:109.02:306797:0.35:0,60:108.69:224743:0.35:0,60:109.46:170771:0.35:0,60:108.08:158321:0.35:0,60:104.42:488368:0.35:0,60:103.06:379988:0.35:0,[60:103.53:211236:0.35:0
SLAB_122019P75,1:108.92,1:106.24,1.0,1:112.56,1:111.8,1:108.15,1:108.56:212242:2.67:0,1:109.0:168881:2.67:0,1:108.32:100523:2.67:0,1:108.33:336728:2.67:0,1:109.02:306797:2.67:0,1:108.69:224743:2.67:0,1:109.46:170771:2.67:0,1:108.08:158321:2.67:0,1:104.42:488368:2.67:0,1:103.06:379988:2.67:0,[1:103.53:211236:2.67:0
SLAB_122019P80,51:108.92,51:106.24,51.0,51:112.56,51:111.8,51:108.15,51:108.56:212242:3.1:0,51:109.0:168881:3.1:0,51:108.32:100523:3.1:0,51:108.33:336728:3.1:0,51:109.02:306797:3.1:0,51:108.69:224743:3.1:0,51:109.46:170771:3.1:0,51:108.08:158321:3.1:0,51:104.42:488368:3.1:0,51:103.06:379988:3.1:0,[51:103.53:211236:3.1:0
SLAB_122019P85,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P90,23:108.92,23:106.24,23.0,23:112.56,23:111.8,23:108.15,23:108.56:212242:1.5:0,23:109.0:168881:1.5:0,23:108.32:100523:0.4:5,18:108.33:336728:0.4:0,18:109.02:306797:0.4:0,18:108.69:224743:0.4:0,18:109.46:170771:0.4:0,18:108.08:158321:0.4:0,18:104.42:488368:0.25:10,28:103.06:379988:0.25:0,[28:103.53:211236:0.25:0
SLAB_122019P95,51:108.92,51:106.24,51.0,51:112.56,51:111.8,51:108.15,51:108.56:212242:3.2:0,51:109.0:168881:3.2:0,51:108.32:100523:3.2:0,51:108.33:336728:3.2:0,51:109.02:306797:3.2:0,51:108.69:224743:3.2:0,51:109.46:170771:3.2:0,51:108.08:158321:3.2:0,52:104.42:488368:0.6:0,52:103.06:379988:1.12:1,[53:103.53:211236:1.12:0
SLAB_122019P100,502:108.92,502:106.24,502.0,502:112.56,502:111.8,502:108.15,502:108.56:212242:1.85:0,502:109.0:168881:1.85:0,502:108.32:100523:1.85:0,502:108.33:336728:1.1:5,502:109.02:306797:1.1:0,502:108.69:224743:1.2:92,477:109.46:170771:1.2:0,477:108.08:158321:1.2:0,477:104.42:488368:1.2:0,477:103.06:379988:2.3:124,[487:103.53:211236:2.0:1
SLAB_122019P105,9:108.92,9:106.24,9.0,9:112.56,9:111.8,34:108.15,34:108.56:212242:1.95:0,34:109.0:168881:1.95:0,34:108.32:100523:1.95:0,34:108.33:336728:1.95:0,34:109.02:306797:1.95:0,34:108.69:224743:1.95:0,34:109.46:170771:1.95:0,34:108.08:158321:1.95:0,34:104.42:488368:1.95:0,34:103.06:379988:5.0:3,[37:103.53:211236:5.0:0
SLAB_122019P110,29:108.92,29:106.24,29.0,29:112.56,29:111.8,22:108.15,27:108.56:212242:5.0:0,27:109.0:168881:5.0:0,27:108.32:100523:5.0:0,27:108.33:336728:5.0:0,27:109.02:306797:5.35:1,28:108.69:224743:5.35:0,28:109.46:170771:5.35:0,28:108.08:158321:5.35:0,28:104.42:488368:5.35:0,28:103.06:379988:8.66:1,[28:103.53:211236:8.66:0
SLAB_122019P115,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P120,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:16.0:0,0:109.0:168881:16.0:0,0:108.32:100523:16.0:0,0:108.33:336728:16.0:0,0:109.02:306797:16.0:0,0:108.69:224743:16.0:0,0:109.46:170771:16.0:0,0:108.08:158321:16.0:0,0:104.42:488368:16.0:0,0:103.06:379988:16.0:0,[0:103.53:211236:16.0:0
SLAB_122019P125,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P130,3:108.92,3:106.24,3.0,3:112.56,3:111.8,3:108.15,0:108.56:212242:30.7:0,0:109.0:168881:30.7:0,0:108.32:100523:30.7:0,0:108.33:336728:30.7:0,0:109.02:306797:30.7:0,0:108.69:224743:30.7:0,0:109.46:170771:30.7:0,0:108.08:158321:30.7:0,0:104.42:488368:30.7:0,0:103.06:379988:30.7:0,[0:103.53:211236:30.7:0
SLAB_122019P135,2:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:23.6:0,0:109.0:168881:23.6:0,0:108.32:100523:23.6:0,0:108.33:336728:23.6:0,0:109.02:306797:23.6:0,0:108.69:224743:23.6:0,0:109.46:170771:23.6:0,0:108.08:158321:23.6:0,0:104.42:488368:23.6:0,0:103.06:379988:23.6:0,[0:103.53:211236:23.6:0
SLAB_122019P140,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P145,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P150,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P155,0:108.92,0:106.24,0.0,0:112.56,0:111.8,0:108.15,0:108.56:212242:0.0:0,0:109.0:168881:0.0:0,0:108.32:100523:0.0:0,0:108.33:336728:0.0:0,0:109.02:306797:0.0:0,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,0:103.53:211236:0.0:0
SLAB_011720P100,U,U,U,U,U,U,U,U,U,U,U,13:108.69:224743:2.08:1,12:109.46:170771:2.08:0,12:108.08:158321:2.08:0,12:104.42:488368:2.3:5,16:103.06:379988:3.8:1,[16:103.53:211236:3.8:0
SLAB_011720P105,U,U,U,U,U,U,U,U,U,U,U,7:108.69:224743:5.8:0,7:109.46:170771:5.8:0,7:108.08:158321:5.8:0,7:104.42:488368:5.3:10,14:103.06:379988:6.0:5,[11:103.53:211236:5.65:2
SLAB_011720P110,U,U,U,U,U,U,U,U,U,U,U,29:108.69:224743:5.8:0,29:109.46:170771:5.8:0,29:108.08:158321:5.8:0,22:104.42:488368:6.2:0,22:103.06:379988:6.2:0,[22:103.53:211236:6.2:0
SLAB_011720P115,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:10.6:0,0:109.46:170771:10.6:0,0:108.08:158321:10.6:0,0:104.42:488368:10.6:0,0:103.06:379988:10.6:0,[0:103.53:211236:10.6:0
SLAB_011720P120,U,U,U,U,U,U,U,U,U,U,U,10:108.69:224743:13.65:0,10:109.46:170771:13.65:0,10:108.08:158321:13.65:0,10:104.42:488368:13.65:0,10:103.06:379988:13.65:0,[10:103.53:211236:13.65:0
SLAB_011720P125,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P130,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P135,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P140,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P145,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P150,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P155,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,0:103.53:211236:0.0:0
SLAB_011720P60,U,U,U,U,U,U,U,U,U,U,U,10:108.69:224743:0.95:0,10:109.46:170771:0.95:0,10:108.08:158321:0.95:0,10:104.42:488368:0.95:0,10:103.06:379988:0.95:0,[10:103.53:211236:0.95:0
SLAB_011720P65,U,U,U,U,U,U,U,U,U,U,U,10:108.69:224743:1.05:0,10:109.46:170771:1.05:0,10:108.08:158321:1.05:0,10:104.42:488368:1.05:0,10:103.06:379988:1.05:0,[10:103.53:211236:1.05:0
SLAB_011720P70,U,U,U,U,U,U,U,U,U,U,U,2:108.69:224743:1.65:0,2:109.46:170771:1.65:0,2:108.08:158321:1.65:0,2:104.42:488368:1.65:0,2:103.06:379988:1.65:0,[2:103.53:211236:1.65:0
SLAB_011720P75,U,U,U,U,U,U,U,U,U,U,U,2:108.69:224743:3.3:0,2:109.46:170771:3.3:0,2:108.08:158321:3.3:0,2:104.42:488368:3.3:0,2:103.06:379988:3.3:0,[2:103.53:211236:3.3:0
SLAB_011720P80,U,U,U,U,U,U,U,U,U,U,U,21:108.69:224743:1.4:0,21:109.46:170771:1.4:0,21:108.08:158321:1.4:0,21:104.42:488368:1.4:0,21:103.06:379988:1.4:0,[21:103.53:211236:1.4:0
SLAB_011720P85,U,U,U,U,U,U,U,U,U,U,U,0:108.69:224743:0.0:0,0:109.46:170771:0.0:0,0:108.08:158321:0.0:0,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_011720P90,U,U,U,U,U,U,U,U,U,U,U,19:108.69:224743:1.75:0,19:109.46:170771:1.75:0,19:108.08:158321:1.75:0,19:104.42:488368:1.75:0,19:103.06:379988:1.75:0,[19:103.53:211236:1.75:0
SLAB_011720P95,U,U,U,U,U,U,U,U,U,U,U,3:108.69:224743:1.22:1,3:109.46:170771:1.22:0,3:108.08:158321:1.22:0,3:104.42:488368:1.22:0,3:103.06:379988:1.22:0,[3:103.53:211236:1.22:0
SLAB_011720P55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:104.42:488368:0.0:0,0:103.06:379988:0.0:0,[0:103.53:211236:0.0:0
SLAB_122019P55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,10:104.42:488368:0.45:0,10:103.06:379988:0.45:0,[10:103.53:211236:0.45:0
